head,relation,tail,熟悉度-familiarity,实体性-concretness,上级类别,下级类别,覆盖范围-coverage,impair
白菜,是,蔬菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,可以,食用,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,植物,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,叶子,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,水,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,需要,阳光,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,白色的,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,是,食物,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,菜叶,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,是,绿色的,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,空气,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,根,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,可以,炒,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,肥料,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,土,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,水,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,维生素,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,是,黄色的,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,青菜,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,卷心菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,青菜,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,娃娃菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,玉石,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,呼吸,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,清洗,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,需要,种植,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,菜根,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,茎,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,纤维,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,营养,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,可以,切,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,可以,腌制,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,土中生长的,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,椭圆形,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,包菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,翡翠,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,花,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,胖娃娃,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,球,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,买,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,需要,杀虫,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,生长,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,白菜帮,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,帮子,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,菜心,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,多种种类,9.0,9.0,植物,蔬菜,0.767599337,0
鼻子,需要,呼吸,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,是,器官,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,有,鼻孔,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,有,毛,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,鼻毛,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,孔,9.0,9.0,身体部位,身体部位,0.700202786,0
