Concept,Rel,Feature,Frequency,上级类别,下级类别
安全带,可以,可以-保护,27.0967741935484,人造物,工具
安全带,是,是-带子,22.258064516129,人造物,工具
安全带,其他,其他-车,17.4193548387097,人造物,工具
安全带,是,是-安保的,16.4516129032258,人造物,工具
安全带,可以,可以-保护人,15.4838709677419,人造物,工具
安全带,需要,需要-系,13.5483870967742,人造物,工具
安全带,像,像-绳子,8.70967741935484,人造物,工具
安全带,有,有-扣,8.70967741935484,人造物,工具
安全带,是,是-长的,6.7741935483871,人造物,工具
安全带,可以,可以-固定,5.80645161290323,人造物,工具
安全带,需要,需要-扣,5.80645161290323,人造物,工具
安全带,有,有-扣子,5.80645161290323,人造物,工具
安全带,可以,可以-系,4.83870967741935,人造物,工具
安全带,是,是-部件,4.83870967741935,人造物,工具
安全带,是,是-条状的,4.83870967741935,人造物,工具
安全带,有,有-布,4.83870967741935,人造物,工具
安全带,是,是-必需品,3.87096774193548,人造物,工具
安全带,是,是-工具,3.87096774193548,人造物,工具
安全带,是,是-黑色的,3.87096774193548,人造物,工具
安全带,需要,需要-佩戴,3.87096774193548,人造物,工具
安全带,有,有-弹性,3.87096774193548,人造物,工具
安全带,可以,可以-拉伸,2.90322580645161,人造物,工具
安全带,其他,其他-交通工具,2.90322580645161,人造物,工具
安全带,是,是-尼龙,2.90322580645161,人造物,工具
安全带,是,是-设备,2.90322580645161,人造物,工具
安全带,需要,需要-安装,2.90322580645161,人造物,工具
安全带,需要,需要-人,2.90322580645161,人造物,工具
安全带,有,有-松紧带,2.90322580645161,人造物,工具
安全带,可以,可以-伸缩,1.93548387096774,人造物,工具
安全带,其他,其他-车祸,1.93548387096774,人造物,工具
安全带,其他,其他-高空作业,1.93548387096774,人造物,工具
安全带,是,是-金属,1.93548387096774,人造物,工具
安全带,是,是-装置,1.93548387096774,人造物,工具
安全带,像,像-保护伞,1.93548387096774,人造物,工具
安全带,像,像-背带,1.93548387096774,人造物,工具
安全带,像,像-绷带,1.93548387096774,人造物,工具
安全带,像,像-皮带,1.93548387096774,人造物,工具
安全带,像,像-皮筋,1.93548387096774,人造物,工具
安全带,有,有-插孔,1.93548387096774,人造物,工具
安全带,有,有-涤纶,1.93548387096774,人造物,工具
安全带,有,有-多种功能,1.93548387096774,人造物,工具
安全带,有,有-多种样式,1.93548387096774,人造物,工具
安全带,有,有-多种长度,1.93548387096774,人造物,工具
安全带,有,有-开关,1.93548387096774,人造物,工具
安全带,有,有-拉环,1.93548387096774,人造物,工具
安全帽,可以,可以-保护,29.0,人造物,工具
安全帽,可以,可以-保护头,20.0,人造物,工具
安全帽,是,是-帽子,17.0,人造物,工具
安全帽,有,有-带子,16.0,人造物,工具
安全帽,是,是-硬的,14.0,人造物,工具
安全帽,可以,可以-戴,12.0,人造物,工具
安全帽,是,是-安保的,11.0,人造物,工具
安全帽,有,有-壳,11.0,人造物,工具
安全帽,是,是-工程的,9.0,人造物,工具
安全帽,是,是-用具,8.0,人造物,工具
安全帽,有,有-多种颜色,7.0,人造物,工具
安全帽,可以,可以-保护人,5.0,人造物,工具
安全帽,是,是-工具,5.0,人造物,工具
安全帽,是,是-金属,5.0,人造物,工具
安全帽,像,像-头盔,5.0,人造物,工具
安全帽,像,像-碗,5.0,人造物,工具
安全帽,有,有-帽边,5.0,人造物,工具
安全帽,其他,其他-比赛,4.0,人造物,工具
安全帽,其他,其他-工人,4.0,人造物,工具
安全帽,是,是-半球形的,4.0,人造物,工具
安全帽,需要,需要-清洗,4.0,人造物,工具
安全帽,需要,需要-制造,4.0,人造物,工具
安全帽,是,是-黄色的,3.0,人造物,工具
安全帽,是,是-塑料,3.0,人造物,工具
安全帽,需要,需要-检查,3.0,人造物,工具
安全帽,需要,需要-正确使用,3.0,人造物,工具
安全帽,有,有-多种种类,3.0,人造物,工具
安全帽,可以,可以-减震,2.0,人造物,工具
安全帽,其他,其他-头,2.0,人造物,工具
安全帽,是,是-光滑的,2.0,人造物,工具
安全帽,像,像-球,2.0,人造物,工具
安全帽,需要,需要-安全,2.0,人造物,工具
安全帽,需要,需要-戴好,2.0,人造物,工具
安全帽,需要,需要-正确佩戴,2.0,人造物,工具
安全帽,有,有-多种样式,2.0,人造物,工具
安全帽,有,有-扣子,2.0,人造物,工具
安全帽,有,有-里衬,2.0,人造物,工具
安慰奶嘴,是,是-婴儿用品,18.0,人造物,餐具
