cue_word,picture_naming
果汁,0
辣椒粉,1
花生酱,1
煎蛋卷,1
通心粉,1
油饼,1
披萨,1
辣椒酱,0
纯净水,0
谷子,0
馅饼,0
春卷,0
橘子汽水,0
牛奶,0
乌龙茶,1
臀部,0
脚趾,0
大腿,1
肩膀,0
拇指,1
心脏,1
膝盖,1
手臂,0
脚背,0
指甲,0
喉,0
嘴唇,1
腿,0
血管,0
睫毛,0
水晶,0
岩石,0
宝石,1
珍珠,0
钻石,1
大理石,1
石头,0
卡车,1
汽车,1
吉普车,1
车辆,0
赛车,1
电动汽车,1
摩托车,1
轿车,1
游艇,1
公交车,1
跑车,1
豪华轿车,1
三轮车,0
卡丁车,1
巴士,0
番茄,1
草,1
青菜,0
蓝莓,1
浮萍,0
橄榄,0
海棠,1
蕨菜,1
生菜,1
油菜花,1
花菜,0
草莓,0
大头菜,0
梅花,0
西兰花,1
刺猬,1
海狮,1
海豹,0
狼,0
狐狸,0
猪,0
鲤鱼,0
犀牛,0
鲸鱼,1
老虎,1
美洲狮,1
狮子,0
豚鼠,1
海獭,0
松鼠,1
防尘罩,1
眼镜盒,0
卷帘,0
耳罩,0
浴帘,0
背心,1
栏杆,1
墙纸,0
胶带,1
火药,0
枕套,1
运动装,0
灯罩,1
画纸,0
镜框,0
