concept,maincategory,subcategory
独木舟,交通工具,船
帆船,交通工具,船
豪华客轮,交通工具,船
皮艇,交通工具,船
潜艇,交通工具,船
游轮,交通工具,船
游艇,交通工具,船
巴士,交通工具,车
敞篷跑车,交通工具,车
车辆,交通工具,车
出租车,交通工具,车
地铁,交通工具,车
电动汽车,交通工具,车
吊车,交通工具,车
房车,交通工具,车
公交车,交通工具,车
行李车,交通工具,车
豪华轿车,交通工具,车
火车,交通工具,车
吉普车,交通工具,车
轿车,交通工具,车
救护车,交通工具,车
卡车,交通工具,车
卡丁车,交通工具,车
缆车,交通工具,车
马车,交通工具,车
摩托车,交通工具,车
跑车,交通工具,车
碰碰车,交通工具,车
汽车,交通工具,车
洒水车,交通工具,车
赛车,交通工具,车
三轮车,交通工具,车
手推车,交通工具,车
四轮马车,交通工具,车
推土机,交通工具,车
挖掘机,交通工具,车
消防车,交通工具,车
婴儿车,交通工具,车
有轨电车,交通工具,车
运钞车,交通工具,车
自行车,交通工具,车
航母,交通工具,飞机
太空舱,交通工具,飞机
绷带,人造物,医疗用品
创可贴,人造物,医疗用品
担架,人造物,医疗用品
胶带,人造物,医疗用品
胶囊,人造物,医疗用品
纱布,人造物,医疗用品
石膏,人造物,医疗用品
手术刀,人造物,医疗用品
氧气面罩,人造物,医疗用品
疫苗,人造物,医疗用品
止血剂,人造物,医疗用品
注射器,人造物,医疗用品
保险柜,人造物,家具
壁橱,人造物,家具
餐桌,人造物,家具
抽屉,人造物,家具
橱柜,人造物,家具
窗帘,人造物,家具
床垫,人造物,家具
床罩,人造物,家具
弹簧床垫,人造物,家具
地毯,人造物,家具
卷帘,人造物,家具
懒人沙发,人造物,家具
毛毯,人造物,家具
墙纸,人造物,家具
沙发,人造物,家具
书柜,人造物,家具
梳妆台,人造物,家具
箱子,人造物,家具
鞋柜,人造物,家具
衣柜,人造物,家具
椅子,人造物,家具
浴帘,人造物,家具
浴盆,人造物,家具
长凳,人造物,家具
枕套,人造物,家具
枕头,人造物,家具
桌布,人造物,家具
座垫,人造物,家具
安全带,人造物,工具
安全帽,人造物,工具
柏油路,人造物,工具
包,人造物,工具
包装纸,人造物,工具
背包,人造物,工具
被子,人造物,工具
鼻烟壶,人造物,工具
笔芯,人造物,工具
避雷针,人造物,工具
避孕套,人造物,工具
便盆,人造物,工具
簸箕,人造物,工具
彩票,人造物,工具
彩陶,人造物,工具
菜板,人造物,工具
餐巾纸,人造物,工具
刹车踏板,人造物,工具
车窗,人造物,工具
车门,人造物,工具
