Concept,Rel,Feature,Frequency,上级类别,下级类别
安全帽,可以,可以-保护,29.0,人造物,工具
安全帽,可以,可以-保护头,20.0,人造物,工具
安全帽,是,是-帽子,17.0,人造物,工具
安全帽,有,有-带子,16.0,人造物,工具
安全帽,是,是-硬的,14.0,人造物,工具
安全帽,可以,可以-戴,12.0,人造物,工具
安全帽,是,是-安保的,11.0,人造物,工具
安全帽,有,有-壳,11.0,人造物,工具
安全帽,是,是-工程的,9.0,人造物,工具
安全帽,是,是-用具,8.0,人造物,工具
安全帽,有,有-多种颜色,7.0,人造物,工具
安全帽,可以,可以-保护人,5.0,人造物,工具
安全帽,是,是-工具,5.0,人造物,工具
安全帽,是,是-金属,5.0,人造物,工具
安全帽,像,像-头盔,5.0,人造物,工具
安全帽,像,像-碗,5.0,人造物,工具
安全帽,有,有-帽边,5.0,人造物,工具
安全帽,其他,其他-比赛,4.0,人造物,工具
安全帽,其他,其他-工人,4.0,人造物,工具
安全帽,是,是-半球形的,4.0,人造物,工具
安全帽,需要,需要-清洗,4.0,人造物,工具
安全帽,需要,需要-制造,4.0,人造物,工具
安全帽,是,是-黄色的,3.0,人造物,工具
安全帽,是,是-塑料,3.0,人造物,工具
安全帽,需要,需要-检查,3.0,人造物,工具
安全帽,需要,需要-正确使用,3.0,人造物,工具
安全帽,有,有-多种种类,3.0,人造物,工具
安全帽,可以,可以-减震,2.0,人造物,工具
安全帽,其他,其他-头,2.0,人造物,工具
安全帽,是,是-光滑的,2.0,人造物,工具
安全帽,像,像-球,2.0,人造物,工具
安全帽,需要,需要-安全,2.0,人造物,工具
安全帽,需要,需要-戴好,2.0,人造物,工具
安全帽,需要,需要-正确佩戴,2.0,人造物,工具
安全帽,有,有-多种样式,2.0,人造物,工具
安全帽,有,有-扣子,2.0,人造物,工具
安全帽,有,有-里衬,2.0,人造物,工具
按键,可以,可以-按,16.0,人造物,工具
按键,是,是-塑料,9.0,人造物,工具
按键,是,是-方形的,7.0,人造物,工具
按键,可以,可以-打字,6.0,人造物,工具
按键,需要,需要-制造,5.0,人造物,工具
按键,有,有-弹簧,5.0,人造物,工具
按键,有,有-多种种类,5.0,人造物,工具
按键,可以,可以-发声,4.0,人造物,工具
按键,是,是-工具,4.0,人造物,工具
按键,是,是-黑色的,4.0,人造物,工具
按键,像,像-开关,4.0,人造物,工具
按键,需要,需要-安装,4.0,人造物,工具
按键,需要,需要-电,4.0,人造物,工具
按键,有,有-多种功能,4.0,人造物,工具
按键,可以,可以-控制,3.0,人造物,工具
按键,可以,可以-控制开关,3.0,人造物,工具
按键,是,是-金属,3.0,人造物,工具
按键,是,是-块状的,3.0,人造物,工具
按键,有,有-多种颜色,3.0,人造物,工具
按键,有,有-数字,3.0,人造物,工具
按键,有,有-圆形,3.0,人造物,工具
按键,有,有-字母,3.0,人造物,工具
按键,可以,可以-触摸,2.0,人造物,工具
按键,可以,可以-输入信息,2.0,人造物,工具
按键,其他,其他-机器,2.0,人造物,工具
按键,其他,其他-键盘,2.0,人造物,工具
按键,是,是-大的,2.0,人造物,工具
按键,是,是-开关,2.0,人造物,工具
按键,像,像-豆腐,2.0,人造物,工具
按键,像,像-扣子,2.0,人造物,工具
按键,像,像-瓶盖,2.0,人造物,工具
按键,像,像-巧克力,2.0,人造物,工具
按键,需要,需要-擦,2.0,人造物,工具
按键,需要,需要-人为操作,2.0,人造物,工具
按键,需要,需要-设计,2.0,人造物,工具
按键,有,有-多种型号,2.0,人造物,工具
按键,有,有-凸起,2.0,人造物,工具
按键,有,有-小的,2.0,人造物,工具
按键,有,有-颜色,2.0,人造物,工具
芭蕾舞裙,可以,可以-穿,24.1935483870968,人造物,服饰
芭蕾舞裙,是,是-服饰,12.5806451612903,人造物,服饰
芭蕾舞裙,是,是-裙子,12.5806451612903,人造物,服饰
芭蕾舞裙,是,是-衣服,10.6451612903226,人造物,服饰
芭蕾舞裙,有,有-布,8.70967741935484,人造物,服饰
芭蕾舞裙,有,有-裙摆,8.70967741935484,人造物,服饰
芭蕾舞裙,是,是-好看的,7.74193548387097,人造物,服饰
芭蕾舞裙,可以,可以-跳舞,6.7741935483871,人造物,服饰
芭蕾舞裙,需要,需要-制造,6.7741935483871,人造物,服饰
芭蕾舞裙,有,有-多种样式,6.7741935483871,人造物,服饰
芭蕾舞裙,是,是-白色的,5.80645161290323,人造物,服饰
芭蕾舞裙,像,像-花,5.80645161290323,人造物,服饰
