node,maincategory,subcategory,closeness_centrality,baseline_original,baseline_new,conflict,new,,
游轮,交通工具,船,0.707691888,0,0,0,0,20,1
游艇,交通工具,船,0.579912726,0,1,1,0,,
潜艇,交通工具,船,0.577056171,0,0,0,0,,
帆船,交通工具,船,0.458316375,1,0,1,1,,
独木舟,交通工具,船,0.362067136,0,0,0,0,,
皮艇,交通工具,船,0.321799473,0,1,1,0,,
汽车,交通工具,车,0.660722536,0,1,1,0,,16
自行车,交通工具,车,0.647174603,1,1,2,1,,
房车,交通工具,车,0.637870144,0,1,1,0,,
跑车,交通工具,车,0.630269655,0,0,0,0,,
马车,交通工具,车,0.62020043,1,1,2,1,,
摩托车,交通工具,车,0.612318483,1,0,1,1,,
吉普车,交通工具,车,0.597853382,1,0,1,0,,
三轮车,交通工具,车,0.594660485,1,1,2,1,,
火车,交通工具,车,0.581107238,1,0,1,1,,
缆车,交通工具,车,0.559755178,0,0,0,0,,
手推车,交通工具,车,0.556084068,1,1,2,1,,
公交车,交通工具,车,0.55380194,1,0,1,1,,
车辆,交通工具,车,0.550396361,0,0,0,0,,
婴儿车,交通工具,车,0.546337318,1,0,1,1,,
轿车,交通工具,车,0.542977599,1,1,2,1,,
挖掘机,交通工具,车,0.510269724,1,0,1,1,,
出租车,交通工具,车,0.500278931,1,0,1,1,,
消防车,交通工具,车,0.486443551,1,1,2,1,,
卡丁车,交通工具,车,0.485641055,0,0,0,0,,
卡车,交通工具,车,0.479463616,1,0,1,1,,
救护车,交通工具,车,0.442787467,1,0,1,1,,
碰碰车,交通工具,车,0.439299741,1,1,2,1,,
吊车,交通工具,车,0.427015776,0,0,0,0,,
四轮马车,交通工具,车,0.413642919,0,0,0,0,,
推土机,交通工具,车,0.412775956,0,0,0,0,,
地铁,交通工具,车,0.41018441,1,0,1,1,,
赛车,交通工具,车,0.389944019,1,0,1,0,,
运钞车,交通工具,车,0.37804354,0,0,0,0,,
巴士,交通工具,车,0.338002058,0,0,0,0,,
洒水车,交通工具,车,0.291900723,0,0,0,0,,
飞机,交通工具,飞机,0.641839992,0,1,1,1,,3
飞船,交通工具,飞机,0.618666555,0,1,1,0,,
直升机,交通工具,飞机,0.598592736,0,1,1,1,,
热气球,交通工具,飞机,0.499660758,0,0,0,0,,
飞碟,交通工具,飞机,0.467327348,0,0,0,0,,
滑翔机,交通工具,飞机,0.431676371,0,0,0,0,,
飞艇,交通工具,飞机,0.427908602,0,0,0,0,,
航母,交通工具,飞机,0.41208351,1,1,2,1,,
火箭,交通工具,飞机,0.386161732,0,0,0,0,,
太空舱,交通工具,飞机,0.377239463,0,0,0,0,,
扬声器,人造物,乐器,0.593681628,0,0,0,0,35,2
扩音器,人造物,乐器,0.561368966,0,0,0,0,,
音乐盒,人造物,乐器,0.46694062,0,0,0,0,,
喇叭,人造物,乐器,0.447228345,0,0,0,0,,
吉他,人造物,乐器,0.346181368,0,0,0,0,,
钢琴,人造物,乐器,0.328526166,0,0,0,1,,
